Код на продукт Кика Груп Баркод;Баркод Кика;Part Number;Aktiven za Web;Aktiven za Web B2C;Product Name;Short Name;Measurement Unit;Broy v kashon;Shirina;Visochina;Dalzhina;Drug razmer;Marka;Model;Tsvyat;Tsvetna opakovka;Opisanie;Product Type;Intrastat Supplementary Unit;Minimal Sales Price Per Lot;Intrastat Commodity Code;Active;Enterprise Company
;3801001010015;31001010001;;;Kombinirana bebeshka kolichka 3 v 1 Madrid Alloy;Bebeshka kolichka 3 v 1 Madrid All in one Alloy;pcs;1;0,48;0,91;0,53;;KIKKABOO;Madrid;Alloy;Не;"Олекотена  алуминиева рамка; Зимен кош, летен кош,столче за кола 0- 13кг; Включва матраче за коша за новородено и подложка за летния кош; Пет точков предпазен колан с меки подплънки";Stoka;kg;;87150010;1;KIKA GROUP LTD
3,807E+12;3801001010022;31001010002;;;Baby stroller Madrid All in one Vulcan;Bebeshka kolichka 3 v 1 Madrid All in one Vulcan;pcs;1;0,48;0,91;0,53;;KIKKABOO;Madrid;Vulcan;Не;"Олекотена  алуминиева рамка; Зимен кош, летен кош,столче за кола 0- 13кг; Включва матраче за коша за новородено и подложка за летния кош; Пет точков предпазен колан с меки подплънки";Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010039;31001010003;;;Kikkaboo Stroller Madrid All in one Portabella;Bebeshka kolichka 3 v 1 Madrid All in one Portabella;pcs;1;0,48;0,91;0,53;;KIKKABOO;Madrid;Portabella;Не;"Олекотена  алуминиева рамка; Зимен кош, летен кош,столче за кола 0- 13кг; Включва матраче за коша за новородено и подложка за летния кош; Пет точков предпазен колан с меки подплънки";Stoka;kg;;87150010;1;KIKA GROUP LTD
3,807E+12;3801001010046;31001010004;;;Stroller 3 in 1 Madrid Beige Melange;Bebeshka kolichka 3 v 1 Madrid All in one Beige;pcs;1;0,48;0,91;0,53;;KIKKABOO;Madrid;Beige;Не;"Олекотена  алуминиева рамка; Зимен кош, летен кош,столче за кола 0- 13кг; Включва матраче за коша за новородено и подложка за летния кош; Пет точков предпазен колан с меки подплънки";Stoka;kg;;87150010;1;KIKA GROUP LTD
3,807E+12;3801001010053;31001010005;;;Stroller 3 in 1 Madrid Grey Melange;Bebeshka kolichka 3 v 1 Madrid All in one Gray;pcs;1;0,48;0,91;0,53;;KIKKABOO;Madrid;Gray;Не;"Олекотена  алуминиева рамка; Зимен кош, летен кош,столче за кола 0- 13кг; Включва матраче за коша за новородено и подложка за летния кош; Пет точков предпазен колан с меки подплънки";Stoka;kg;;87150010;1;KIKA GROUP LTD
3,807E+12;3801001010060;31001010006;;;Stroller 3 in 1 Allure Beige;Bebeshka kolichka 3 v 1 Allure Beige;pcs;1;0,5;0,76;0,5;;KIKKABOO;Allure;Beige;Не;"Комбинирана количка  3 в 1 - трансформираща се в кош за новородено  седалка  и  столче за кола; Лека алуминиева рамка; Реверсивна седалка; Регулиране на облегалката; EVA колела; Лесно сгъване; Размери в сгънато положение: 115X66X40 см; Размери в разгънат";Stoka;kg;;87150010;1;KIKA GROUP LTD
3,807E+12;3801001010077;31001010007;;;Stroller 3 in 1 Allure Lilac;Bebeshka kolichka 3 v 1 Allure Lilac;pcs;1;0,5;0,76;0,5;;KIKKABOO;Allure;Lilac;Не;"Комбинирана количка  3 в 1 - трансформираща се в кош за новородено  седалка  и  столче за кола; Лека алуминиева рамка; Реверсивна седалка; Регулиране на облегалката; EVA колела; Лесно сгъване; Размери в сгънато положение: 115X66X40 см; Размери в разгънат";Stoka;kg;;87150010;1;KIKA GROUP LTD
3,807E+12;3801001010084;31001010008;;;Baby Stroller Allure Blue;Bebeshka kolichka 3 v 1 Allure Blue;pcs;1;0,5;0,76;0,5;;KIKKABOO;Allure;Blue;Не;"Комбинирана количка  3 в 1 - трансформираща се в кош за новородено  седалка  и  столче за кола; Лека алуминиева рамка; Реверсивна седалка; Регулиране на облегалката; EVA колела; Лесно сгъване; Размери в сгънато положение: 115X66X40 см; Размери в разгънат";Stoka;kg;;87150010;1;KIKA GROUP LTD
3,801E+12;3801001010091;31001010009;;;Kombinirana bebeshka kolichka 3 v 1 Condor Charcoal;;pcs;1;;;;;HAUCK;Condor;Charcoal;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
;3801001010107;31001010010;;;Kombinirana bebeshka kolichka 3 v 1 Condor Red;;pcs;1;;;;;HAUCK;Condor;Red;;;Stoka;kg;;87150010;1;KIKA GROUP LTD
