Product Group Level 4;Product Name;Store;Product;Quantity;Quantity Unit;Quantity Base
100101: Kombinirani bebeshki kolichki 3 v 1;Baby Stroller Allure Blue;1406 PLOVDIV KIKA GRUP;31001010008;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Baby Stroller Allure Blue;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010008;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Baby Stroller Allure Blue;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010008;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Baby Stroller Allure Blue;1410 PLOVDIV KIKA GRUP TRUD;31001010008;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Baby Stroller Allure Blue;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010008;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Baby Stroller Allure Blue;1411 PLOVDIV KIKA GRUP MANOLE;31001010008;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Baby stroller Madrid All in one Vulcan;1406 PLOVDIV KIKA GRUP;31001010002;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Baby stroller Madrid All in one Vulcan;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010002;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Baby stroller Madrid All in one Vulcan;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010002;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Baby stroller Madrid All in one Vulcan;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010002;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Baby stroller Madrid All in one Vulcan;1411 PLOVDIV KIKA GRUP MANOLE;31001010002;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Detska kolichka 3 v 1 Kitay;1413 PLOVDIV KIKA GRUP MOSTRI;31001010073;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Detska kolichka 3 v 1 Kitay;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010073;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kikkaboo Stroller Madrid All in one Portabella;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010003;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kikkaboo Stroller Madrid All in one Portabella;1412 PLOVDIV KIKA GRUP MAGAZIN;31001010003;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kolichka Condor All In One CO-12 Red;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010033;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kolichka Malibu Trio Set Trio Red;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010034;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kolichka Malibu XL AIO Set Rock;1406 PLOVDIV KIKA GRUP;31001010032;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kolichka Malibu XL AIO Set Rock;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010032;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kolichka Malibu XL AIO Set Rock;1410 PLOVDIV KIKA GRUP TRUD;31001010032;1;pcs;1
100101: Kombinirani bebeshki kolichki 3 v 1;Kolichka Miami 4 Trio Set - Petrol/Grey ;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010035;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kolichka Miami 4 Trio Set - Petrol/Grey ;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010035;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v1 Miami All in one Caviar Petrol;1406 PLOVDIV KIKA GRUP;31001010044;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v1 Miami All in one Caviar Petrol;1415 PLOVDIV KIKA GRUP - OKOLOVRASTEN PAT;31001010044;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v1 Miami All in one Caviar Petrol;1408 PLOVDIV KIKA GRUP TsENTRALEN;31001010044;0;pcs;0
100101: Kombinirani bebeshki kolichki 3 v 1;Kombinirana bebeshka kolichka 3 v1 Miami All in one Caviar Petrol;1410 PLOVDIV KIKA GRUP TRUD;31001010044;1;pcs;1
